Modelo,Linear,MelhorPolinomial,R2_Polinomial
Linear,y = 0.9998x + 5.3684,"Pol grau 10: [-8.26042220e+00  1.01126552e+00 -3.41800742e-06  3.88325123e-10
 -2.21847372e-14  7.31330313e-19 -1.47059425e-23  1.82444981e-28
 -1.35880060e-33  5.55741361e-39 -9.58073543e-45]",0.9998
POLINOMIAL_2,y = 0.9998x + 5.9968,"Pol grau 10: [-1.34483017e+00  1.00940327e+00 -2.74282695e-06  2.62873606e-10
 -1.18377024e-14  2.93856841e-19 -4.29175939e-24  3.69143147e-29
 -1.73807194e-34  3.50467871e-40 -3.25811798e-47]",0.9998
POLINOMIAL_3,y = 0.9998x + 6.0298,"Pol grau 10: [ 4.21629200e+00  1.00644983e+00 -1.80981626e-06  1.35116920e-10
 -3.72441146e-15  1.26529018e-20  1.48494818e-24 -3.53342600e-29
  3.65730339e-34 -1.85831214e-39  3.77717514e-45]",0.9998
POLINOMIAL_4,y = 0.9926x + 180.6242,"Pol grau 10: [ 3.65854127e+03 -6.62168279e-02  6.91176769e-05 -3.95352885e-09
  2.29959445e-13 -8.76871483e-18  2.00490063e-22 -2.76878301e-27
  2.26683541e-32 -1.01218097e-37  1.89778978e-43]",0.9994
POLINOMIAL_5,y = 0.9670x + 807.6015,"Pol grau 10: [ 6.76161012e+03 -2.47343071e-01  8.15493396e-05 -9.49417376e-09
  6.71471140e-13 -2.53203336e-17  5.59161567e-22 -7.50217957e-27
  6.00961130e-32 -2.63884143e-37  4.88283242e-43]",0.9983
POLINOMIAL_6,y = 0.9260x + 1811.9182,"Pol grau 10: [ 9.21546029e+03 -3.27518761e-01  1.05958752e-04 -1.35060278e-08
  8.85620366e-13 -3.17802558e-17  6.86247394e-22 -9.12232333e-27
  7.27388280e-32 -3.18328350e-37  5.87299782e-43]",0.997
POLINOMIAL_7,y = 0.8788x + 2966.0323,"Pol grau 10: [ 1.11361772e+04 -3.74313489e-01  1.19512361e-04 -1.50574190e-08
  9.57367379e-13 -3.42557889e-17  7.45629737e-22 -9.98089006e-27
  7.98208883e-32 -3.49327630e-37  6.43821106e-43]",0.995
POLINOMIAL_8,y = 0.6634x + 8236.0134,"Pol grau 10: [ 1.58840015e+04  6.37168173e-01 -2.06638267e-04  2.66600406e-08
 -1.74803884e-12  6.52374005e-17 -1.46104780e-21  1.99637315e-26
 -1.62488391e-31  7.22108853e-37 -1.34684731e-42]",0.9411
POLINOMIAL_9,y = 0.5980x + 9836.1350,"Pol grau 10: [ 1.71554861e+04  7.07669598e-01 -2.33946276e-04  3.05899555e-08
 -2.01676628e-12  7.52339247e-17 -1.67966075e-21  2.28336248e-26
 -1.84661661e-31  8.15013258e-37 -1.50989893e-42]",0.9494
POLINOMIAL_10,y = 0.5536x + 10922.4444,"Pol grau 10: [ 1.79685784e+04  6.46313248e-01 -2.15095059e-04  2.82917317e-08
 -1.87357978e-12  7.01122055e-17 -1.56861652e-21  2.13440698e-26
 -1.72616899e-31  7.61524686e-37 -1.41025043e-42]",0.952
MLP,y = 1.0001x + -12.6894,"Pol grau 10: [ 2.59898085e+00  9.72781357e-01  6.99175849e-06 -6.95908279e-10
  3.44053096e-14 -9.53897081e-19  1.57751649e-23 -1.58559779e-28
  9.45282770e-34 -3.04949221e-39  4.04645793e-45]",0.9999
