Criptomoeda,Desvio Padrao,Variancia,Amplitude,IQR
BCHUSDT,353.1939833030891,124745.98984150279,3620.2800001600003,190.530180385
DASHUSDT,154.33739016000186,23820.030001400635,1427.96000302,104.201104805
XRPUSDT,0.5651026506069072,0.3193410057229522,3.28814985,0.39810003000000005
ETHUSDT,1238.118249336589,1532936.7993403,4807.8694820499995,1917.220109015
LTCUSDT,59.30945859960109,3517.611879377796,388.04504996,55.744785715000006
XMRUSDT,91.83422562147801,8433.524995496527,484.2158104,121.577033895
ETCUSDT,14.11559604251304,199.2500516354098,101.37823644000001,17.68482797
ZRXUSDT,0.34788641901024175,0.12102496053176949,2.1579515000000002,0.28115848
BTCUSDT,27495.04365399959,755977425.535343,117298.0206875,35196.299760019996
BATUSDT,0.27696975514094196,0.07671224526283334,1.6596154699999999,0.15905844999999996
TESTE,4.320493798938574,18.666666666666668,12,6.0
TESTE,4.320493798938574,18.666666666666668,12,6.0
